问题,回答
2022年总市值最高的餐饮类上市企业是哪家公司？,某样本企业以超过人民币1600亿元总市值在样本企业中遥遥领先，成为2022年总市值最高的餐饮类上市企业。
2022年餐饮企业平均总市值较疫情前的2019年大涨了多少？,2022年的平均总市值较疫情前的2019年大涨64.1%。
预制菜赛道布局较早的哪家企业在样本企业中总资产增幅最高？,受益于疫情期间预制菜的井喷式发展，在预制菜赛道布局较早的安井食品在样本企业中总资产增幅最高，达到60.3%。
2022年上半年样本企业的总体营业收入较2021年同期下降了多少？,样本企业的总体营业收入较2021年同期下降了超过一成。
有多少家企业实现了营业收入同比的正增长？,仅有8家企业实现了营业收入同比的正增长。
实现营业收入正增长的8家上市餐饮企业中，预制菜企业占了多少比例？,实现营业收入正增长的8家上市餐饮企业中，超过一半为预制菜企业。
广州酒家为了应对疫情给品牌生产经营带来的影响，推进哪些业务发展，从而带动食品营收实现双位数增长？,广州酒家为了应对疫情给品牌生产经营带来的影响，大力推进盆菜、速冻菜式等预制菜的业务发展，从而带动食品营收实现双位数增长。
有多少家上市餐饮企业在2022年中报实现了盈利？,2022年中报显示有16家上市餐饮企业的净利润为正，实现盈利。
实现盈利的企业减少了多少家？,较2021年同期实现盈利的企业减少了5家。
哪些因素导致了上市餐饮企业盈利下滑？,国内多发散发的疫情对餐饮企业经营的影响以及原材料、人工等成本的上升导致上市餐饮企业经营压力加剧。
2019年到2022年期间中期亏损企业均值分别为多少？,去除极值后，2019年到2022年期间中期亏损企业均值分别为-0.21亿元、-1.43亿元、-0.23亿元以及-1.25亿元。
餐饮业是我国稳增长、促消费、扩内需、惠民生的重要领域吗？,是的，餐饮业是我国稳增长、促消费、扩内需、惠民生的重要领域。
政府部门如何扶持餐饮行业度过难关？,政府部门从税收、社保、融资等方面推出一系列纾困政策以大力扶持餐饮行业。
哪些政策文件发布了关于餐饮业的扶持政策？,2022年4月国家发展和改革委员会、人民银行、民政部、社保基金理事会等部门发布了关于为做好受疫情影响较大的金融机构业务加提供对差异化疫情的影响较大的金融服务业务的通知；2022年4月国家消费者协会发布了关于进一步促进市场放活、消费主体潜力加大、助力企业纾困、解难促进、扶持旅游业、措施民生等方面的意见；2022年5月国资委等部门发布了关于中央企业助力中小企业纾困、解难促进、扶持旅游业、措施民生、助力特色产业链实供等方面的通知；2022年5月人社部、财政部、交通运输部等部门发布了关于缓缴餐饮社保、零售保险、旅游、民航、公路水路保费、路政铁路提质运输等五个方面的扩大知晓阶段性问题的通知。
餐饮业遇到了哪些困难？,餐饮业受到国内多发散发的疫情对经营的影响，以及原材料、人工等成本的上升等因素的影响，面临经营压力。
预制菜市场规模从2014年至2021年增长了多少？,预制菜市场规模从3237.6亿元增长至7203.4亿元，增幅高达122.5%；预计到2022年，我国预制菜市场规模将达到7474.6亿元。
我国预制菜行业的年复合增长率高达多少？,我国预制菜行业进入高增长期，年复合增长率高达12.88%，远超同时期美国与日本。
预计到2027年我国预制菜市场规模会达到多少？,预计到2027年预制菜市场规模超万亿元，5年复合增速达8.95%。
中国预制菜消耗量的年复合增长率如何？,从2014年到2021年期间，我国预制菜消耗量CAGR为7.53%，增速大大优于美国和日本。
我国预制菜消费量如何？,我国预制菜消费量约为每人每年5千克，是日本的2倍多，美国的3倍左右。
美国人均预制菜消费量如何？,近年来美国的人均预制菜消费量较为平稳，一直保持在16千克左右，同样高于我国人均预制菜消费量。
预制菜行业发展的驱动因素有哪些？,预制菜行业发展主要源于政策端、需求端和供给端的共同驱动。政策端方面，国家发改委制定《农产品冷链物流发展规划》有效改善了预制菜行业的运输损耗及物流成本；需求端方面，疫情后迎来地区性的预制菜“政策潮”；供给端方面，多个省市出台政策和行业标准填补行业规范空白。
预制菜行业的发展空间有多大？,总的来说，我国预制菜行业仍有较大的发展空间。
预制菜行业是什么？,预制菜是指在生产过程中经过加工、调味、冷冻、真空包装等处理后，可以直接食用或加热食用的菜品。
政策对预制菜行业的影响有哪些？,政策对预制菜行业的影响主要有三个方面：2015年中央一号文件提出“推进农村一二三产业融合发展”；十九大报告提出乡村振兴战略；疫情以来频繁出具产业支持政策和团体标准，填补了预制菜行业相关政策空白。
预制菜行业的供给端发展如何？,供给端在资本追捧下，行业持续扩容。2022年多家预制菜上下游企业获得融资，专注预制菜的品牌味知香于2021年上半年成功上市。
预制菜行业的物流基础如何？,近年来我国冷链物流行业发展迅速，冷链物流设施逐步完善，稳固了预制菜供应配送方面的基础。
预制菜产业主要依托于哪些地区？,预制菜产业主要依托于具有生态资源优势的沿海地区与传统农业强省，广东、福建、山东及河南是具有预制菜规模化产业园区的代表省份。
各地对预制菜产业有哪些扶持政策？,各地纷纷出台扶持政策，引导预制菜产业落地发展。
我国预制菜企业数量的发展情况如何？,我国预制菜企业数量快速攀升，截至2022年12月31日，我国预制菜相关企业达6.8万余家，超过5成的企业成立于近5年间。
预制菜企业数量的增速如何？,2017年到2019年期间，预制菜企业的注册量平均增速接近23%，2020年增速开始降缓，但2020年预制菜企业注册量在这一年达到峰值，将近万家。
预制菜样本企业平均毛利率如何变化？,2017年到2019年期间，预制菜样本企业平均毛利率为24%，2020年下降3.5个百分点，2021年更是跌破了20%，为近五年间平均毛利率的最低点。
预制菜企业面临的压力是什么？,受到疫情影响，预制菜样本企业在营业收入稳步上升的同时，面临原材料成本上涨的压力，营业成本同步上升。
预制菜企业数量的发展情况如何？,预制菜企业数量快速攀升，截至2022年12月31日，我国预制菜相关企业达6.8万余家，超过5成的企业成立于近5年间。
预制菜企业净利润水平如何？,2021年，部分预制菜企业出现大幅亏损，整体净利润水平表现不佳。
预制菜企业净利润表现如何？,截至2022年三季度，预制菜样本企业净利润为2021年全年的3倍，行业净利表现出强劲的增长韧性。
预制菜企业的研发投入情况如何？,截至2022年三季度，预制菜样本企业的平均研发费用投入占比为0.5%，合计42亿元人民币，已超过疫情前2019年全年研发费用。
预制菜企业的研发创新能力如何？,预制菜企业正不断增强研发创新能力，优化产品结构，推动行业健康、可持续的发展。
预制菜企业的毛利率和净利率情况如何？,2020年预制菜样本企业平均毛利率下降3.5个百分点，2021年更是跌破了20%，净利润表现不佳。
预制菜企业的平均净利率和营收情况如何？,2022年三季度预制菜样本企业平均净利率为11.1%，平均营收为26.9亿元，实现营收、净利双双高速增长。
预制菜企业的多元化、全渠道布局措施有哪些？,预制菜企业采取了加速门店拓展、扩大重点板块业务产能、加强研发能力、打造爆款产品、依托多渠道发展等多方面措施来适应新形势下的发展。
